,sentence
7296,Obulwadde butta abakulu n'abato.
7297,Ab'akakiiko bagezezzaako engeri nnyingi okutangira okusaasaana kw'akawuka.
7298,Abasawo abamu baafiriddwa obulamu bwabwe olw'ekirwadde kino.
7299,Disitulikiti z'okunsalo zikoseddwa nnyo ekirwadde.
7300,Abantu balina okusomesebwa enkozesa ya zi masiki entuufu.
7301,Bajja kukolaganira wamu n'abakulembeze b'ebyalo mu kugaba zi masiki.
7302,Abakulembeze b'ebyalo balina okwenyigiramu ku madaala gonna.
7303,Abo abaagaana okuzambala balina okubonerezebwa.
7304,Eddwaliro lirambiddwa nga ekifo awakebererwa.
7305,America ewa Uganda ebikozesebwa mu kujjanjaba okulwanyisa akawuka ka ssenyiga omukambwe.
7306,Amyuka omukulembeze w'eggwanga yafuna obuyambi.
7307,Amakeberero gano gajja kuyamba mu kukebera amangu akawuka ka ssenyiga omukambwe
7308,Waliwo obuuma obukebera obugingirire okuva e China.
7309,Okukebera ngeri emu ey'okulwanyisa okusaasaana kw'ekirwadde.
7310,Bannamawulire bonna baasabibwa okwekebeza akawuka ka ssenyiga omukambwe.
7311,Wa omuntu w'asobola okwekebereza akawuka ka ssenyiga omukambwe mu Uganda?
7312,Okukebera kw'akawuka ka ssenyiga omukambwe okw'okumukumu kukola?
7313,Ensalo za Uganda zonna n'ebifo awayingirirwa bya ggalwawo.
7314,Abavuzi ba zi takisi baalabulwa obutatambula ng'essaawa za kaafiyu ziyiseeko.
7315,Booda za kukomanga okukola ku ssaawa kkumi na bbiri ez'olweggulo.
7316,Abantu basimba nnyiriri okusaba pamiti ezibakkiriza okutambula.
7317,Abawagizi be tebaagoberera kulambikibwa kw'okutangira ensaasaana y'akawuka ka kolona.
7318,Bannabyabufuzi abamu beeyimirira abantu abakwatibwa olw'obutagoberera kulambikibwa okw'omuggalo.
7319,Abakulembeze b'ebyalo bakubirizza abantu okwambala zi masiki nga bali mu bifo eby'olukale.
7320,Abantu balina okwewa amabanga waakiri mmita bbiri okuva ku mulala.
7321,Eggwanga lyonna likoseddwa nnyo ekirwadde bbunansi ekireetebwa akawuka ka kolona.
7322,Booda booda zazzeemu okusaabaza abantu.
7323,Bannabyabufuzi bamanyisa abantu okugoberera ebiragiro by'omuggalo.
7324,Waabaddewo obutakkaanya wakati w'abakulembeze ba disitulikiti.
7325,Ennamba y'abantu abakwatibwa obulwadde obuleetebwa akawuka ka kolona yeeyongedde mpola mpola.
7326,Yafa kkookolo ku myaka ataano mu musanvu nga waakayitawo ennaku ntono nga awummudde emirimu.
7327,Yali mukulembeze wa maanyi ng'alina ekisa n'omutima omugabi.
7328,Disitulikiti eyo erina omusawo asinga mu ggwanga lyonna.
7329,Omusawo oyo alina obusobozi obukola okumala obudde obuwanvu.
7330,Yakola omulimu gwa maanyi mu kutumbula omutindo gw'ebyobulamu mu bantu.
7331,Poliisi olumu esobola okuzuula ebintu ebiba bibbiddwa.
7332,Lwaki okola ebikolwa eby'ettima ku balala?
7333,Obulamu bw'abantu kikulu nnyo n'olwekyo togezaako kuteeka balala mu bulabe.
7334,Mu mbeera ki omuntu mwasobolera okweyimirirwa okuva ku Poliisi?
7335,Ebiragiro bya puleezidenti tteeka eririna okugobererwa.
7336,Baani ab'okumwanjo abakikulembeddemu?
7337,Omuntu bw'aba awonedde ddala asiibulwa okuva mu ddwaliro.
7338,Omukulembeze asobola atya okumalawo obutabanguko?
7339,Abasawo balina okujjanjaba balwadde n'obwegendereza obw'ekika ekya waggulu.
7340,Buli mukozi yandyagadde okasiimo akasava.
7341,Empeereza z'ebyobulamu mu malwaliro agamu tennaba kuba ya mulembe nnyo.
7342,Abasawo kati ssente bazisiga mu malwaliro agw'obwannannyini.
7343,Olowooza kya magezi omusawo okutandikawo eddwaliro ly'obwannannyini?
7344,Abantu abasinga batera okuluvuubanira ebintu ebibaganyula bo nga bo.
7345,Abakozi tebabeera bamativu n'omusaaala okulwayo.
7346,Emirimu egy'enjawulo giweebwako obusiimo obw'enjawulo.
7347,Eby'obulamu ebisookerwako kye ki?
7348,Ttiimu z'ebyobulamu zirina okusiimibwa.
7349,Olowooza nsonga ki eziviirako emisaala okulwawo.
7350,Ssente zitera okugabanyizibwa ku mirimu egy'enjawulo.
7351,Okusasula mu budde kuzzaamu abakozi amaanyi okukola.
7352,Abantu balina okuyiga okuba baeesimbu naddala mu nsonga ezikwatagana ne ssente.
7353,Akasiimo k'okukolera mu katyabaga ka mmeka?
7354,Abasawo balina okuba abeegendereza nga bajjanjaba abalwadde ba kolona.
7355,Sitatimenti z'aboobuyinza zeesigamwako nnyo.
7356,Ekirwadde ekireetebwa akawuka ka kolona kireetedde okuggalwa kw'obutale obumu.
7357,"Okulemererwa okugoberera ebiragiro bw'abakugu, akatale kajja kuggalwa."
7358,Obutale obunene bulambulwa ku nsonga z'obuyonjo.
7359,Abakyala be batembeeyi abasinga obungi.
7360,Bakulembeze b'ebyalo balina okufaayo ku bulamu bw'abatembeeyi.
7361,Abatembeeyi bajja kukkiriza okukola banaaba basobola okwewa amabanga.
7362,Okusalawo okwekuusa ku bantu kulina kukolebwa mu lujjudde.
7363,Abakulembeze bawa be bakulembera essuubi .
7364,Okwewa amabanga y'emu ku ngeri z'okutangira akawuka ka kolona.
7365,Kya bulamu abatembeeyi okusula mu katale?
7366,Tusanga abatembeeyi abasinga mu butale.
7367,Ebiragiro bya pulezidenti birina okugonderwa.
7368,Kiki ekireetawo enjawukana mu ndowooza z'ebyobufuzi?
7369,Ekirangiriro ekikulu kirina okutwalibwa ng'ekikulu.
7370,Ababeera n'obubonero bwa kolona batera okuzuulibwamu obalwadde.
7371,Abaweebwa ebitanda mu ddwaliro batera kuba bayi.
7372,Abantu abatambula okuva mu kifo ekimu okudda mu kirala balina emikisa mingi egy'okufuna endwadde.
7373,Okusaba ekifo kusobola okukkirizibwa oba okugaanibwa.
7374,Ebbula ly'ebikozesebwa mu kujjanjaba kikosa nnyo enkola y'emirimu y'abasawo.
7375,Kozesa ebyetaagisa byonna okutangira endwadde.
7376,Enteekateeka y'omulimu n'embalirira bya mugaso ki?
7377,Kungaanya ebyetaagisa mu kaweefube w'okwetegekera ebibamba.
7378,Abanoonyiboobubudamu abamu bayingira mu nsi endala mu bumenyi bw'amateeka.
7379,Ensalosalo z'amawanga zikuumibwa butiribiri.
7380,Abasawo nabo bwe bataba beegenderezza basobola okusiigibwa endwadde.
7381,"Bw'awona, omulwadde asiibulwa okuva mu ddwaliro."
7382,Obutazuulibwamu bulwadde kitegeeza omuntu talina bulwadde obubadde bunoonyezebwa.
7383,Kiki ekiviirako abanoonyiboobubudamu abayingira abangi mu ggwanga?
7384,"Newankubadde akawuka ka kolona weekali, endwadde endala zikyaliwo."
7385,Omusujja gw'ensiri  ne lubyamira ndwadde za bulabe.
7386,Abasawo balina okusiimibwa olw'okujjanjaba obulungi abalwadde.
7387,Emirimu emirungi girina okusiimibwa.
7388,Okusiibulwa okuva mu ddwaliro ly'essanyu ly'abalwadde abasinga obungi.
7389,Bannayuganda bantu abaaniriza abagenyi.
7390,Endwadde ziviirako okusoomoozebwa kungi nnyo eri obulamu.
7391,Abalwadde abamu tebajjanjabika mangu.
7392,Okukebera kinnassaayansi kukolebwa bannassaayansi.
7393,Ebitereke gwe muganda gw'ebintu ebirina omuntu gwe bitegekeddwa.
7394,Abasawo abagaba eddagala balondoola edddagala mu ddwaliro.
7395,Ssente zeetaagisa mu kulwanyisa endwadde.
7396,Ebitongole bikola obuvunaanyizibwa bw'ekikungu nga biwaayo obuyambi okuganyula abantu.
7397,Ebikozesebwa mu kunaaba engalo kati kyetaago mu kulwanyisa akawuka ka kolona.
7398,Bannansi n'abanoonyiboobubudamu bonna bantu abagwanira okuyisibwa kyenkanyi.
7399,Omuntu alina obulwadde abeera n'obubonero bw'obulwadde.
7400,Abifo bya kalantiini bigenderera kuyambako kukenga embeera y'obulamu embi.
7401,Abatuuze abasinga tebatebenkedda n'okweteeka mu kalantiini.
7402,Mulekere awo ebikolwa ebiyinza okubaviirako okugenda mu kalantiini.
7403,"Ku lw'obulamu obulungi, abakulembeze b'ebyalo beetaaga okukolera awamu n'abasawo."
7404,"Mu kulwanyisa akawuka ka kolona, gavumenti yatema empenda okukatangira mu bwangu."
7405,Embalirira z'angulwa abakulu n'abagivunaanyizibwako.
7406,"Singa ebikozesebwa biba nga tebimala, omuntu wa ddembe okwewola."
7407,Lwaki abantu balina okuyamba obukiiko obudduukirize?
7408,Saasaanya ku by'olina okusaasaanyizaako.
7409,Embalirira ziraga ekigero kya ssente ekiyinza okukyusibwa.
7410,Weeweeyo okulwanyisa endwadde ezitulimu
7411,Bulijjo gobereranga ebiragiro by'ab'ebyobulamu.
7412,Eddagala ly'akawuka ka kolona kati weeriri okweyambisibwa mu kujjanjaba.
7413,"Mu mbeera ezimu, okusalawo kwetaagisa."
7414,Kisoboka okuyimiriza emirimu gy'omu butale?
7415,Obukuumi ku nsalosalo butangira okuyingira mu ggwanga okutali mu mateeka.
7416,"Bw'ozuulibwamu obulwadde, tandikirawo eddagala."
7417,Okutegekebwa mu kalantiini bulijjo kikolebwa lwa bya bulamu.
7418,Okukeberebwa kw'obulwadde okw'ekisawo kuyinza okuba ng'olina oba nga tolina.
7419,Ebintu byetaagibwa mu kulwanyisa endwadde.
7420,Akawuka ka k'obulwadde bwa kolona kamu ku bulwadde obusaasaana mu bitundu bya Uganda.
7421,Kiki ekifuula omuntu omuwanguzi?
7422,Mu buli kuvuganya wabeerawo omuwanguzi.
7423,Okubaka omupiira muzannyo bulijjo oguzannyibwa  abawala.
7424,Abawala nabo basobola okusamba omupiira.
7425,Empisa kimu ku bintu ebikulu ebisuubirwa mu bannabyamizannyo.
7426,Amasomero galina okutumbula ebyemizannyo mu baana.
7427,Ttiimu y'ebyemizannyo ey'amaanyi yonna erina okuba wamu.
7428,Ekirooto kya buli ttiimu y'ebyemizannyo kwe kwetaba mu mpaka.
7429,Empaka bintu bya byamizannyo.
7430,Empaka zikubiriza okuvuganya okulungi wakati wa ttiimu z'ebyemizannyo.
7431,Empaka mukolo ogw'essanyu eri abagwetabamu bonna.
7432,Abantu balina okukolera awamu mu kaweefube w'okuziyiza endwadde.
7433,Alipoota ezisinga zikolebwa buli mwaka.
7434,Ebbaluwa entongole erina okubaako gw'ewandiikirwa.
7435,Ebbaluwa entongole zirina okubaako emikono b'ennaku z'omwezi.
7436,Lwaki emirimu gy'okujjukiranga girina okukolebwa?
7437,bubonero ki obw'enkizo obulaga obukozi?
7438,Akafuba ndwadde ya bulabe.
7439,Okubalirira kwa bwetaavu ki?
7440,Abantu beetaaga okukolera awamu okutumbula ebitundu bya babeeramu.
7441,Ensonga ezimu zitunulwako okulonda ekintu ng'ekisinga.
7442,Obujjanjabi bw'akafuba weebuli eri abalwadde b'akafuba.
7443,Okukulaakulana ng'ozinziira ku budde kirungi.
7444,Kola okugoba endwadde ezimu.
7445,Akafuba ndwadde esaasaanyizibwa akawuka.
7446,Kiki ekireeta ebigenge mu bantu?
7447,Abeetaba mu mpaka z'obwannalulungi batera kuba bakazi.
7448,Empaka za ki?
7449,Somesa omwana omuwala.
7450,Abantu bulijjo bakubirizibwa okwetaba mu mpaka.
7451,Kola kyonna ky'osobola okutuukiriza ekyo ky'oyaayaanira.
7452,Omulimu gwa bannamawulire gwe guli wa?
7453,"Ng'oggyeko ebisoomooza, ebintu bisoboka."
7454,Pulojekiti ezikwata ku by'okuzaala zibadde za muwendo nnyo eri ekitingole ky'ebyobulamu.
7455,Abavuganya nabo bamanyikiddwa nga abeetabi.
7456,Abanaavuganya bajja kuba abo abanaatuukiriza emitendera agiteereddwawo.
7457,Amataba goonoona ebintu ng'amayumba.
7458,Enkuba ennyingi ennyo ya bulabe eri ekitundu.
7459,Amataba goonoona ebimera mu nnimiro.
7460,Katonda wa kisa nnyo.
7461,Obudde bw'enkuba butaataaganya abantu abamu.
7462,Okufiirizibwa si y'enkomerero ya byonna.
7463,Abaana abamu tebalina busobozi kufuna byetaago ng'amazzi amayonjo.
7464,Gavumenti erina okutongoza ebifo ebisengebwamu.
7465,Abantu abasenguddwa amataba balina okuyambibwa
7466,Ebintu byetaagibwa okusobora okudduukirira akatyabaga.
7467,Avunaanibwa y'ani?
7468,Okuwaaba kitundu ku mpuliziganya.
7469,Okuddibwamu kwa mugaso ku mutendera gw'okuwewa.
7470,Omuntu wa ddemba okulaga obwagazi bwe mu kifo aky'obukulembeze kyonna.
7471,Abakulembeze beetaaga abasika mu bifo byabwe eby'obukulembeze?
7472,Bannabyabufuzi be bakulembeze mu kitundu abasobola okukwasaganya ensonga z'abatuuze.
7473,Bannabyabufuzi balulunkanira obuyinza.
7474,Mpagi ki ezimu nga bw'ozituukiriza oyinza okutuuka ku nkulaakulana?
7475,Omuntu alina eddembe mu mateeka okuwagira omuntu yenna gw'eyeeyagalidde.
7476,Mwewale okwewalana.
7477,Abakulembeze mulwanirire ddembe mu kulonda okujja.
7478,Amatendekero gasomesa abayizi amasomo aganaababeezaawo.
7479,Obumanyirivu bwenkana ki bw'olina mu kisaawe ky'eby'amawulire?
7480,Uganda erina emikutu gya laadiyo egy'enjawulo.
7481,Buli omu alina eddembe okukola okusalawo.
7482,Bannamawulire abasinga ensangi zino beegatta mu byobufuzi.
7483,Abantu abasinga batya okutwalibwa mu kkooti.
7484,Tekirina buzibu okwetondera abo be tutayisizza bulungi.
7485,Kikubirizibwa okuteeka buli kintu mu buwandiike okusobola okukuuma obujulizi eyo mu maaso.
7486,Kola nnyo okukuuma enkolagana ennungi n'abantu abalala.
7487,Ebitongole by'amateeka bikola ku nsonga ezeekuusa ku mateeka n'emisango mu kkooti.
7488,Okukaka ssente oluvannyuma lw'okutiisibwatiisibwa kungi nnyo ennaku zino.
7489,Ebintu ebimu bye tukola byonoona ekifaananyi by'abantu abalala.
7490,Lwaki omuntu abeera ateekawo obukwakkulizo alyoke akkirize okwetonda kw'abalala?
7491,Okwetonda kwokka olumu kuyinza okulemesa omuntu okutwalibwa mu mbuga z'amateeka.
7492,Abaafiirwa ebintu byabwe mu lutalo mu ngeri emu oba endala balina okuliyirirwa ebintu byonna.
7493,Ekitongole bwe kirumbibwa kiba kisuubirwa okufiirizibwa.
7494,Embuga z'amateeka zeeyambisibwa okukola okusalawo okumu.
7495,Omuyaga ogw'amaanyi gwonoona ebintu by'abantu.
7496,Emiyaga giviirako abantu okubonaabona.
7497,Kibuyaga omungi naye ayonoona ebintu bya bantu.
7498,Ebirime bikungulwa ne biterekebwa.
7499,Okusaanyaawo amaka kuviirako okusenguka kw'abantu.
7500,Amaka gafaanana gatya?
7501,Abantu abakoseddwa baddusibwa mu ddwaliro okufuna obujjanjabi.
7502,Emiyaga gisengula abantu n'ebintu byabwe.
7503,Abantu batera okunoonya abalala okuyambibwa.
7504,Ani atwalibwa ng'omutuuze?
7505,Baliraanwa basobola okuyamba abalala abali mu bwetaavu.
7506,Okuzimba ennyumba kyetaaga nga ssente weeziri.
7507,Obuyambi buweebwa abali mu bwetaavu n' abali mu katyabaga.
7508,Lwaki ba ssaalumanya abamu balagajjalirwa?
7509,Amaka y'ennyumba n'abagibeeramu.
7510,Emiti giyamba okusala emisinde n'amaanyi g'empewo.
7511,Abantu bakubirizibwa okusimba emiti kko n'akuddamu okugisimba emiti we bagitemye.
7512,Ppikippiki y'entambula esinga okuba eya layisi n'obwangu.
7513,Ebitongole bya gavumenti nabyo bigaba obuyambi.
7514,Ppikippiki zisobola okweyambisibwa abasawo okutuuka ku malwaliro mu budde.
7515,Ebyuma birina okukwatibwa n'obuvunaanyizibwa kko n'okulabirirwa.
7516,Ppikippiki zaakukozesebwa mu kitongole kya byabulamu kyokka.
7517,Abaana abato bagemebwa okuva eri endwadde zi nnamutta nga;  Pooliyo.
7518,Ppikippiki bintu ekitazza magoba.
7519,Obuyambi kya muwendo eri abo ababuganyulwamu.
7520,Obuyambi obusinga butera kubeera bwa bintu bikalu.
7521,Buli ddwaliro kati lyaweebwa ppikippiki emu.
7522,Ababbi banguyirwa okubba ppikippiki.
7523,Embalirira ziraga emiwendo egiteeberezebwa.
7524,N'abakulu nabo bagemebwa.
7525,Uganda ejjudde ebika by'emiti eby'enjawulo.
7526,Okusaanyawo ebibira gwe gumu ku mirimu emikulu mu Adjumani.
7527,Amateeka agafuga okukuuma obutonde bw'ensi tegateekebwa mu nkola mu Adjumani.
7528,Akakiiko kalina okumanyisa abantu bwetaavu bw'okuddamu okusimba ebibira.
7529,Gavumenti erina okuteekawo amateeka amakakali ku kusaanyawo ebibira.
7530,Abantu abeenyigira mu kusaanyawo ebibira bakwatiddwa.
7531,Abantu essira baalitadde ku bwetaavu n'omugaso gw'emiti mu kitundu.
7532,Abakungu baakubirizza abantu okuba bamwoyogwaggwanga.
7533,Abakungu balina okugoberera n'okugondera amateeka.
7534,Abakungu ba disitulikiti beekobaana n'abasalamala okufuna ssente mu miti.
7535,Enguzi egundidde mu bakungu ba disitulikiti.
7536,Abakungu balemeddwa okussa mu nkola etteeka ly'ebibira.
7537,Abakungu bafuuse kitundu ku bamenyi b'amateeka.
7538,Abantu bajjukiziddwa nti amateeka agafuga emiti gakyaliwo.
7539,Amateeka n'emitendera birina okugobererwa.
7540,Okutunda ebintu kwakolebwa mu butuufu bwakwo.
7541,Ebibira ebisinga obungi mu ggwanga bisaanyiziddwawo.
7542,Gavumenti efubye okutumbula ebyobulimi ng'eyita mu Operation Wealth Creation.
7543,Ekitundu kyafuna ebyuma ebinaayambako mu kulima.
7544,Kaweefube aluubirira okutumbula mbeera z'abantu mwe bawangaalira.
7545,Abalimi balina okukola ebibiina by'obwegassi basobole okusaka okuva mu gavumenti.
7546,Abalimi abamu bakolera wamu okulongoosa embeera zaabwe.
7547,Ttulakita zisinga kuweebwa balimi abeenyigira mu kulima ebintu ebivaamu ssente.
7548,Abakyala beenyigira mu kulima ebintu ebivaamu ssente.
7549,Abakyala balimye ettaka bakole emirimu egivaamu ssente.
7550,Gavumenti eyambye abalimirunzi abali ku mugendo okulongoosa obulamu bwabwe.
7551,Abantu bafunye emirimu mu kitundu.
7552,Abalimirunzi beenyigidde mu kulimisa ebyuma n'obulimirunzi obuvaamu ensimbi.
7553,Bannamagye batumbudde emirimu gy'obulimi n'obulunzi mu ggwanga.
7554,Abasajja abakuumaddembe beenyigira mu kutumbula eby'obuyonjo mu kitundu.
7555,Abakungu baayagala okubeera eky'okulabirako mu bantu.
7556,Olunaku lwa byafaayo eri abantu b'omulembe guno.
7557,Abakuumaddembe baayolesezza obwa mwoyogwaggwanga.
7558,Amagye ne poliisi balina enkolagana ennungi n'abantu.
7559,Amagye gajja kwolesa omulamwa omukulu ogw'amagye  ga Uganda.
7560,Amagye gasiima omulimu gwa bannayuganda eri eggwanga lyabwe.
7561,Abasawo tebalina ddagala lya kujjanjaba balwadde b'akafuba.
7562,Abalwadde b'akafuba beeyongera obungi.
7563,Abasawo beetaaga okufufugaza ekirwadde.
7564,Ekirwadde nakyo kigundidde mu nkambi z'abanoonyi b'obubuddamu.
7565,Abasawo tebasobola kulondoola bantu bazuuliddwa na kirwadde.
7566,Gavumenti erina okunyweza eby'okwerinda ku nsalo.
7567,Abantu tebannagemebwa.
7568,Ekitongole ekijjanjambi kirina okuddingana  okukebera abantu.
7569,Gavumenti eruddewo okuyamba mu kugoba ekirwadde.
7570,Gavumenti erina okukaatirizza okuziyiza n'okugema mu bantu.
7571,Gavumenti erina okuwa obujjanjabi obw'obwereere eri abantu.
7572,Abakuumaddembe abamu bamenya matteeka mu kifo ky'okugakwasa
7573,Abamenyi b'amateeka bajja kusibwanga.
7574,Omupoliisi ajja kuwozesebwa wamu n'okusalirwa mu mbuga z'amateeka.
7575,Abakwasisa amateeka balina okukuuma amateeka n'obugunjufu obw'ekitalo.
7576,Omukungu yali akozesa enyingiza kwe kkusa yekka.
7577,Omuserikale yayolesa ekifaananyi ekibi ekya poliisi.
7578,Poliisi ejja kunoonyereza oba omusirikale oyo yalina abamuyambako mu kukola ebikolobero.
7579,Omuserikale alina okuddamu okutendekebwa okumufunamu obulungi.
7580,Omukulu ajja kuvunaanibwa ogw'obufere.
7581,Amalwaliro tegalina busobozi bwa kujjanjaba bulungi na bukugu.
7582,Disitulikiti yeetaaga okulongoosa omutindo gw'ebyobulamu mu kitundu.
7583,Gavumenti erina okuteeka eddagala mu malwaliro okusobola okulongoosa eby'obulamu.
7584,Eddwaliro libulamu ebikozesebwa mu kujjanjaba abalwadde.
7585,Disitulikiti erina okusaba ebikozesebwa mu by'obulamu  butereevu okuva mu minisitule y'ebyobulamu.
7586,Abantu bayina embeera y'obulamu obubi mu kitundu.
7587,Disitulikiti enoonya engeri ezisoboka era ez'amangu okugyawo embeera.
7588,Amalwaliro mu Adjumani gajja kuweebwa eddagala n'ebikozesebwa mu bujjanjabi.
7589,Eddagala eryafunibwa amalwaliro limalawo akaseera katono.
7590,Abantu tebalina ssente za kugula ddagala na kufuna bujjanjabi.
7591,Ba ssentebe bakolaganira wamu n'abantu okuteekawo zi kaabuyonjo.
7592,Ssentebe asinga kufa ku kukuuma buyonjo okwewala endwadde ezibalukawo.
7593,Ssentebe ayagala kukola bulungibwansi mu kitundu.
7594,Buli munnakyalo ateekeddwa okuba ne kaabuyonjo.
7595,Walina okubaawo okukwasiza awamu mu bantu n'abakungu.
7596,Disitulikiti esinga kukosebwa mbeera za budde.
7597,Emirimu tegisobola kutambula mu mbeera ya budde embi.
7598,Buli kyalo kirina okutuukana n'omutindo ogutandikirwako.
7599,Bannamikago bayingiziddwamu okusobola okuteekateeka obulungi.
7600,Disitulikiti eyambiddwa mu buli kimu okusobola okukulaakulanya ebyalo.
7601,Gavumenti ewadde disitulikiti ensimbi okusobola okuteekataaka obulungi.
7602,Bannakyalo bayingiziddwa mu kusalawo okusobola okwoleka ebitundu ebibulamu.
7603,Disitulikiti erina okubeera n'enkola erambika enzisa y' amateeka mu nkola.
7604,Ssentebe yasomesa abantu okulonkoma buli eyeenyigira mu kutema emiti.
7605,Abantu abeenyigira mu kutema emiti balina okukwatibwa era batwalibwe mu mbuga z'amateeka.
7606,Waliwo okusaanyawo kw'emiti kw'amaanyi mu kitundu.
7607,Buli muntu alina okubeera mu mbeera ekuuma obutonde bw'ensi.
7608,Disitulikiti terina ky'ekozeewo ku basazi b'embaawo.
7609,Abakulembeze ku disitulikiti bakubirizza abantu mu kitundu okusimba ebibira.
7610,Ettaka erisinga obunene lirekeddwa  nga lyereere.
7611,Amateeka amakakali galina okuteekebwawo era n'omugaso gw'emiti gulina okukkaatirizibwa.
7612,Ssentebe alemereddwa okuziyiza omuze gw'okusala embaawo mu kitundu
7613,Ssentebe tafaayo ku kwonoona kw'obutonde bw'ensi.
7614,Abakulembeze ku disitulikiti tebali bumu.
7615,Abakungu bamenya amateeka nga beekwese.
7616,Abakungu batandise okwenyigira mu mirimu egimenya amateeka okusobola okufuna ssente.
7617,Okwonoona obutonde bw'ensi gwafuuka mulimu eri abantu ba bulijjo.
7618,Abantu balina okwegatta awamu okuzzaawo ebifo ebirungi mu Adjumani.
7619,Omusajja alina kuwasa omukyala omu.
7620,Omwenge ogususse mubi eri obulamu.
7621,Wafuna ddi satifukeeti yo eya konfirimansiyo?
7622,Onaakakasibwa leero?
7623,Bishop yayigiriza ki ku bufumbo?
7624,Omwepisikoopi yayogera ku buvunaanyizibwa bw'abasajja mu maka.
7625,Omukolo gw'okuwa konfirimansiyo gujja kukolebwa ku kereziya.
7626,Bya kulabirako ki by'oyiga mu bulamu bwa yeezu?
7627,Abavubuka z'empagi z'eggwanga lino.
7628,Kkanisa zaaweebwa ettaka ddene nnyo okuva eri Kabaka.
7629,Abakirisito balina okukolerera obwakabaka bwa katonda.
7630,Nneetaaga okulaba omwepisikoopi.
7631,Kano kabuga katono nnyo.
7632,Omuliro gwayokya buli kimu ne kifuuka evvu.
7633,Oyina baliraanwa bameka?
7634,Poliisi teyina bikozesebwa mu kuzikiza muliro.
7635,Tukozesa tutya obuuma obuzikiriza omuliro?
7636,Tulina ebyuma ebizikiza omuliro?
7637,Biki ebyaviirako omuliro?
7638,Abapangisa bange balemereddwa okusasulira ennyumba zaabwe.
7639,Ow'oluganda lwange mukulembeze.
7640,Abazikiza omuliro basinga kukola mu budde ki?
7641,Bukodyo ki obukozesebwa mu kulwanyisa omuliro?
7642,Gavumenti y'awakati y'evunaanyizibwa ku ntambula z'olukale.
7643,Poliisi eri mu kunoonyereza.
7644,Ettaka likolebwa mu ki?
7645,Abatambuze betaaga okukozesa ekkubo eddala.
7646,Emmotoka zisobola okugenda ku kidyeri?
7647,Olutindo olwo luyitibwa lutya?
7648,Wajja kubaawo akabbinkano ka ba pulezidenti ssabbiiti ejja.
7649,Nteekateeka ki ku ntambula zo?
7650,Ebidyeri bikozesebwa mu kusaabaza abantu.
7651,Okutegeeragana y'engeri esinga ey'okugonjoolamu obukuubagano?
7652,Oluguudo olupya olwakazimbibwa lulimu ebinnya bingi.
7653,Twetaaga okugula eby'okuzzaawo.
7654,Weetaagibwa mu woofiisi ya nankulu.
7655,Makubo ki agaliko akalipagano akatono?
7656,Okozesa kidyeri okusala omugga?
7657,Ebbaluwa etugoba enaatuweebwa ddi?
7658,Olukiiko lujja kutuula ku kitebe ekikulu ekya disitulikiti.
7659,Abasenze beesenza ku ttaka ly'ekibira mu bukyamu.
7660,Ettaka ly'ekibira eryo lyenkana wa obunene?
7661,Abasutami baagobebwa ku ttaka ly'ekibira.
7662,Etteeka ly'ebibira mu ggwanga lyatandika ddi?
7663,Abasenze balina okuvunaanibwa mu mbuga z'amateeka.
7664,Ettaaka ly'ebibira lirina okukuumibwa.
7665,Kitwala bbanga ki okuteeka ensonga mu mbuga za kkooti?
7666,Lwaki ettaka ly'ebibira lya mugaso?
7667,Kiki ky'ogenda okusomesa abantu?
7668,Tuyinayo olukiiko olulala leero?
7669,Kiki ky'okola nga ggwe omukuumi w'ebibira?
7670,"Nga tebannalwana, abasirikale bombi baasoose kukaayana nnyo."
7671,Olukungaana lwa bannamawulire lwa ssaawa mmeka?
7672,Butakkaanya ki bwe muyina?
7673,Okulwana kikolwa kya butabanguko.
7674,Kyonna ky'okola kimenya mateeka.
7675,Abakulembeze balina olukiiko leero.
7676,Okusalawo kw'abakulembeze kwanditwaliddwa.
7677,Lwaki abavubuka bagezesa nebiragala ebimenya amateeka?
7678,Tulina okujulira mu kkooti ensukkulumu.
7679,Kkooti eyisizza ensala yaayo.
7680,Balina eby'okulwanyisa zzisabyalo.
7681,Abantu bataano bakakasiddwa nga bafu.
7682,Poliisi etutte eyakoseddwa mu mikono gyayo.
7683,Lino lye limu ku malwaliro agasinga obulungi mu disitulikiti yonna.
7684,Poliisi eremereddwa okukuuma abantu n'ebintu byabwe.
7685,Poliisi yakutte abasajja abaaviiriddeko obutabanguko.
7686,Basse omusajja atalina musango.
7687,Abatuuze mu kitundu kyammwe bakambwe nnyo.
7688,Olina obusobozi obutuuka ku ddwaliro?
7689,Abatuuze abanyiivu babadde beegugunga okuva eggulo.
7690,Omupoliisi yalumiziddwa mu kwe kalakaasa.
7691,Tusaba emirembe gidde mu nteeko.
7692,Lwaki olumya abaana abo enjala?
7693,Twaniriza abanoonyi b'obubuddamu mu Uganda.
7694,Tetujja kugumiikiriza bikolwa bya butabanguko.
7695,Abantu bangi bafa mu lutalo.
7696,Police erina okukuuma amateeka n'obutebenkevu mu kitundu.
7697,Abasomesa ab'enkizo balina okusiimibwa olw'emirimu emirungi.
7698,Basomesa bameka abaasiimiddwa..
7699,Abasomesa beetaaga okuzzaamu amaanyi?
7700,Omukulu w'essomero avunaanyizibwa ku kuddukanya kw'essomero.
7701,Otunuulira amasomero ga pulayimale agamu?
